,ACT_count,ACT_mean,ACT_std,THREAT_count,THREAT_mean,THREAT_std,difference
BTC,22.0,0.040841497775130194,0.19248470230224426,41.0,-0.04396646924409411,0.2543289261322299,0.0848079670192243
GOLD,22.0,0.0019048194944568677,0.043377065997656304,41.0,0.004277471227022529,0.041587997317763525,-0.0023726517325656613
OIL,22.0,0.015887733977682946,0.16733596589465613,41.0,0.002091306942745029,0.08527390407447687,0.013796427034937917
