location,Event_Count,Converge_Count,Diverge_Count,BTC_GOLD_Converge_Count,GOLD_OIL_Converge_Count,BTC_CAR_Mean,BTC_CAR_Std,GOLD_CAR_Mean,GOLD_CAR_Std,OIL_CAR_Mean,OIL_CAR_Std,GPR_Diff_Mean,Converge_Rate,Diverge_Rate,BTC_GOLD_Converge_Rate,GOLD_OIL_Converge_Rate
Libya,2,1,1,1,2,0.0269,0.1573,0.0277,0.0346,0.3398,0.479,83.4538,0.5,0.5,0.5,1.0
Mali,2,1,1,1,2,-0.1564,0.0389,-0.0243,0.0598,0.0171,0.0959,103.6305,0.5,0.5,0.5,1.0
Austria,1,0,1,0,1,0.3645,,-0.0295,,-0.1523,,106.0074,0.0,1.0,0.0,1.0
Azerbaijan,1,1,0,1,1,-0.3067,,-0.0025,,-0.0017,,109.7507,1.0,0.0,1.0,1.0
Colombia,1,0,1,0,0,-0.0753,,0.0612,,-0.0012,,107.4557,0.0,1.0,0.0,0.0
Belgium,1,0,1,0,1,0.0908,,-0.0607,,-0.0932,,230.4174,0.0,1.0,0.0,1.0
Bulgaria,1,0,1,1,0,0.1002,,0.0251,,-0.0545,,100.0428,0.0,1.0,1.0,0.0
Baghdad,1,1,0,1,1,-0.061,,-0.0444,,-0.0261,,89.9643,1.0,0.0,1.0,1.0
Indonesia,1,0,1,1,0,-0.2542,,-0.05,,0.0618,,97.7389,0.0,1.0,1.0,0.0
Ecuador,1,0,1,1,0,-0.1554,,-0.0119,,0.0423,,134.642,0.0,1.0,1.0,0.0
Dagestan,1,0,1,1,0,-0.2849,,-0.0316,,0.1107,,84.3042,0.0,1.0,1.0,0.0
Ghana,1,0,1,0,0,0.0679,,-0.0514,,0.0298,,194.0286,0.0,1.0,0.0,0.0
Haiti,1,0,1,1,0,0.0834,,0.0319,,-0.0103,,115.2982,0.0,1.0,1.0,0.0
Germany,1,0,1,0,0,0.0605,,-0.0042,,0.1473,,77.1467,0.0,1.0,0.0,0.0
Georgia,1,0,1,0,1,0.0908,,-0.0607,,-0.0932,,230.4174,0.0,1.0,0.0,1.0
Hungary,1,0,1,1,0,0.1002,,0.0251,,-0.0545,,100.0428,0.0,1.0,1.0,0.0
Middle East,1,1,0,1,1,-0.3067,,-0.0025,,-0.0017,,109.7507,1.0,0.0,1.0,1.0
Mosul,1,0,1,0,1,0.4397,,-0.0144,,-0.0144,,124.8128,0.0,1.0,0.0,1.0
Moldova,1,1,0,1,1,-0.1141,,-0.0439,,-0.0029,,118.5329,1.0,0.0,1.0,1.0
Qatar,1,0,1,0,0,0.0296,,-0.038,,0.0869,,256.9209,0.0,1.0,0.0,0.0
Palestine,1,0,1,1,0,0.1175,,0.0283,,-0.058,,107.0033,0.0,1.0,1.0,0.0
Nepal,1,0,1,0,1,-0.0456,,0.0562,,0.0031,,163.5769,0.0,1.0,0.0,1.0
Nagorno-Karabakh,1,1,0,1,1,-0.3067,,-0.0025,,-0.0017,,109.7507,1.0,0.0,1.0,1.0
Tanzania,1,0,1,1,0,-0.2542,,-0.05,,0.0618,,97.7389,0.0,1.0,1.0,0.0
Tajikistan,1,1,0,1,1,-0.0618,,-0.0616,,-0.0052,,76.1017,1.0,0.0,1.0,1.0
Taiwan,1,1,0,1,1,-0.061,,-0.0444,,-0.0261,,89.9643,1.0,0.0,1.0,1.0
Turkey,1,0,1,0,1,0.1366,,-0.0318,,-0.1076,,107.6085,0.0,1.0,0.0,1.0
