,total_events,positive_count,positive_pct,positive_mean,positive_std,negative_count,negative_pct,negative_mean,negative_std,zero_count,skewness,mean_car,std_car
BTC,63.0,34.0,53.96825396825397,0.1581047541633856,0.12689203813055988,29.0,46.03174603174603,-0.2165404803279346,0.1625993600051183,0.0,-0.5390258660278084,-0.014350988697698314,0.23651919571303404
GOLD,63.0,34.0,53.96825396825397,0.035381158025406874,0.02105130807090176,29.0,46.03174603174603,-0.03398886288544342,0.02593748089898881,0.0,-0.2899606570125279,0.0034489261775551556,0.041886179794982284
OIL,63.0,30.0,47.61904761904762,0.08366119477940705,0.12440519885931983,33.0,52.38095238095238,-0.06286551852183757,0.05460331438540792,0.0,2.8687218552879488,0.006909106859707479,0.1192461935004789
