GPR_Intensity,Event_Count,Mean_GPR_Diff,BTC_CAR_Mean,GOLD_CAR_Mean,OIL_CAR_Mean,BTC_CAR_Std,GOLD_CAR_Std,OIL_CAR_Std
Medium,26,85.38178810706505,-0.0824083076923077,0.011152230769230768,0.03435123076923077,0.27117597992488485,0.042334481379894276,0.15827017992365022
High,25,115.01667785644531,0.020085960000000003,0.006295879999999999,-0.006481999999999999,0.22650872635921412,0.03735655281799076,0.07380129918797726
Very High,8,170.15497207641602,0.046127875,-0.01992575,-0.019112125,0.14218652506121016,0.04717090586292118,0.08145200234395276
Extreme,4,226.47168922424316,0.09183225,-0.017666499999999998,-0.03572825,0.10432193641280184,0.048316254383661265,0.11757425986548531
