Condition,Event_Count,BTC_CAR_Mean,GOLD_CAR_Mean,OIL_CAR_Mean
High_Vol_Regime,16,0.0024538124999999994,0.002680875,0.024740125
Low_Vol_Regime,47,-0.02007182978723404,0.003710404255319149,0.0008389361702127656
Event_Type_ACT,22,0.04084145454545454,0.0019049545454545445,0.015887681818181818
Event_Type_THREAT,41,-0.04396651219512195,0.004277414634146341,0.0020912926829268308
Oil_Producer,35,0.006483771428571428,-0.0008445428571428578,0.008508742857142862
Non_Oil_Producer,28,-0.04039453571428571,0.008815785714285717,0.004909500000000006
