Asset,Positive_Count,Negative_Count,Positive_Mean,Negative_Mean,Positive_Abs_Mean,Negative_Abs_Mean,Asymmetry_Ratio
BTC,34,29,0.15810470588235292,-0.21654051724137932,0.15810470588235292,0.21654051724137932,0.7301391346826444
GOLD,34,29,0.035381235294117644,-0.03398893103448276,0.035381235294117644,0.03398893103448276,1.040963461258089
OIL,30,33,0.08366119999999998,-0.06286557575757576,0.08366119999999998,0.06286557575757576,1.3307950971866855
