GPR_Threshold,Below_Count,Above_Count,Below_BTC_Mean,Above_BTC_Mean,Below_GOLD_Mean,Above_GOLD_Mean,Below_OIL_Mean,Above_OIL_Mean,BTC_Diff,GOLD_Diff,OIL_Diff
100,26,37,-0.0824083076923077,0.033472999999999996,0.011152230769230768,-0.001964189189189189,0.03435123076923077,-0.012374594594594595,0.1158813076923077,-0.013116419958419957,-0.04672582536382537
150,51,12,-0.03216601960784315,0.06136266666666667,0.008771666666666665,-0.01917266666666667,0.014334941176470592,-0.02465083333333333,0.09352868627450982,-0.027944333333333335,-0.03898577450980392
200,59,4,-0.021549898305084747,0.09183225,0.004880491525423729,-0.017666499999999998,0.009799745762711866,-0.03572825,0.11338214830508475,-0.022546991525423728,-0.04552799576271187
