Event,Date,Asset,Window,CAR
Event_32,2020-11-03,GOLD,"[-10,10]",-0.03596003620989988
Event_32,2020-11-03,OIL,"[-10,10]",-0.21879874411130568
Event_33,2021-02-02,BTC,"[-10,10]",0.08951131049397949
Event_33,2021-02-02,GOLD,"[-10,10]",-0.0410906015594066
Event_33,2021-02-02,OIL,"[-10,10]",0.039045814576352755
Event_34,2021-04-14,BTC,"[-10,10]",-0.35922905122141685
Event_34,2021-04-14,GOLD,"[-10,10]",0.04383762919055581
Event_34,2021-04-14,OIL,"[-10,10]",0.02025172366741308
Event_35,2021-06-22,BTC,"[-10,10]",-0.09604571469132957
Event_35,2021-06-22,GOLD,"[-10,10]",-0.06650268030405335
Event_35,2021-06-22,OIL,"[-10,10]",-0.003903852371327534
Event_36,2021-08-23,BTC,"[-10,10]",0.22700461081676537
Event_36,2021-08-23,GOLD,"[-10,10]",0.037108173088193565
Event_36,2021-08-23,OIL,"[-10,10]",-0.031113290441118963
Event_37,2021-10-05,BTC,"[-10,10]",0.44920730650075025
Event_37,2021-10-05,GOLD,"[-10,10]",-0.004235393448281135
Event_37,2021-10-05,OIL,"[-10,10]",0.13944432990911262
Event_38,2021-12-30,BTC,"[-10,10]",-0.20873431618121158
Event_38,2021-12-30,GOLD,"[-10,10]",0.02843789557237117
Event_38,2021-12-30,OIL,"[-10,10]",0.0900234745991774
Event_39,2022-01-25,BTC,"[-10,10]",-0.018357008108226613
Event_39,2022-01-25,GOLD,"[-10,10]",0.018637566223817813
Event_39,2022-01-25,OIL,"[-10,10]",0.06443609764716116
Event_40,2022-03-16,BTC,"[-10,10]",0.09444403359186261
Event_40,2022-03-16,GOLD,"[-10,10]",-0.01734660351397035
Event_40,2022-03-16,OIL,"[-10,10]",-0.029934431653716575
Event_41,2022-04-22,BTC,"[-10,10]",-0.14792438971695906
Event_41,2022-04-22,GOLD,"[-10,10]",-0.04285626627569616
Event_41,2022-04-22,OIL,"[-10,10]",-0.010001149724552877
Event_42,2022-05-31,BTC,"[-10,10]",-0.18781428152168217
Event_42,2022-05-31,GOLD,"[-10,10]",0.00404835525210733
Event_42,2022-05-31,OIL,"[-10,10]",-0.018929863600585232
Event_43,2022-09-01,BTC,"[-10,10]",-0.09178653611579393
Event_43,2022-09-01,GOLD,"[-10,10]",-0.048413213722751494
Event_43,2022-09-01,OIL,"[-10,10]",-0.041299185581719175
Event_44,2022-11-08,BTC,"[-10,10]",-0.0593630448210329
Event_44,2022-11-08,GOLD,"[-10,10]",0.07609863691233418
Event_44,2022-11-08,OIL,"[-10,10]",-0.025519935681729694
Event_45,2022-12-27,BTC,"[-10,10]",0.047712606802693076
Event_45,2022-12-27,GOLD,"[-10,10]",0.04445179284814821
Event_45,2022-12-27,OIL,"[-10,10]",0.21314817530950103
Event_46,2023-06-26,BTC,"[-10,10]",0.05227822575729728
Event_46,2023-06-26,GOLD,"[-10,10]",-0.00012518181764069845
Event_46,2023-06-26,OIL,"[-10,10]",0.038046821172260985
Event_47,2023-10-06,BTC,"[-10,10]",0.12046241722090079
Event_47,2023-10-06,GOLD,"[-10,10]",0.029044209299982308
Event_47,2023-10-06,OIL,"[-10,10]",-0.06421993757914818
Event_48,2023-10-27,BTC,"[-10,10]",0.33779902669200057
