Asset,Event,Date,Short_CAR,Medium_CAR,Long_CAR,Diff_Long_Short
BTC,Event_1,2015-03-27,-16.038092345675114,-16.038092345675114,-16.038092345675114,0.0
BTC,Event_10,2017-03-22,-19.984114434461553,-19.984114434461553,-19.984114434461553,0.0
BTC,Event_11,2017-06-05,11.687878226279032,11.687878226279032,11.687878226279032,0.0
BTC,Event_12,2017-07-05,-36.701796922415156,-36.701796922415156,-36.701796922415156,0.0
BTC,Event_13,2017-08-10,39.298867455950344,39.298867455950344,39.298867455950344,0.0
BTC,Event_14,2017-09-04,-22.178295539276437,-22.178295539276437,-22.178295539276437,0.0
BTC,Event_15,2017-11-02,11.004762089748484,11.004762089748484,11.004762089748484,0.0
BTC,Event_16,2018-01-02,-84.52355737594092,-84.52355737594092,-84.52355737594092,0.0
BTC,Event_17,2018-04-12,2.351403375263662,2.351403375263662,2.351403375263662,0.0
BTC,Event_18,2018-05-23,-24.338605106781934,-24.338605106781934,-24.338605106781934,0.0
BTC,Event_19,2018-07-23,18.263659837671558,18.263659837671558,18.263659837671558,0.0
BTC,Event_2,2015-07-15,12.37359553621548,12.37359553621548,12.37359553621548,0.0
BTC,Event_20,2018-11-13,-44.08750902170293,-44.08750902170293,-44.08750902170293,0.0
BTC,Event_21,2019-01-02,8.967795243638289,8.967795243638289,8.967795243638289,0.0
BTC,Event_22,2019-05-02,44.11494010716437,44.11494010716437,44.11494010716437,0.0
BTC,Event_23,2019-06-14,25.867577281627817,25.867577281627817,25.867577281627817,0.0
BTC,Event_24,2019-08-06,-16.038920171554214,-16.038920171554214,-16.038920171554214,0.0
BTC,Event_25,2019-09-16,-31.778471038743504,-31.778471038743504,-31.778471038743504,0.0
BTC,Event_26,2019-11-13,-28.16265410556943,-28.16265410556943,-28.16265410556943,0.0
BTC,Event_27,2020-01-09,23.151375570722475,23.151375570722475,23.151375570722475,0.0
BTC,Event_28,2020-05-18,16.397586746705908,16.397586746705908,16.397586746705908,0.0
BTC,Event_29,2020-06-22,-7.6170382839491015,-7.6170382839491015,-7.6170382839491015,0.0
BTC,Event_3,2015-09-22,6.6466545335389675,6.6466545335389675,6.6466545335389675,0.0
BTC,Event_30,2020-08-06,22.310207957156273,22.310207957156273,22.310207957156273,0.0
BTC,Event_31,2020-09-10,-11.710126067392066,-11.710126067392066,-11.710126067392066,0.0
BTC,Event_32,2020-11-03,33.842189961161075,33.842189961161075,33.842189961161075,0.0
BTC,Event_33,2021-02-02,8.951131049397949,8.951131049397949,8.951131049397949,0.0
BTC,Event_34,2021-04-14,-35.922905122141685,-35.922905122141685,-35.922905122141685,0.0
BTC,Event_35,2021-06-22,-9.604571469132956,-9.604571469132956,-9.604571469132956,0.0
BTC,Event_36,2021-08-23,22.700461081676536,22.700461081676536,22.700461081676536,0.0
BTC,Event_37,2021-10-05,44.92073065007502,44.92073065007502,44.92073065007502,0.0
BTC,Event_38,2021-12-30,-20.873431618121156,-20.873431618121156,-20.873431618121156,0.0
BTC,Event_39,2022-01-25,-1.8357008108226613,-1.8357008108226613,-1.8357008108226613,0.0
BTC,Event_4,2015-11-16,11.805873348964823,11.805873348964823,11.805873348964823,0.0
BTC,Event_40,2022-03-16,9.44440335918626,9.44440335918626,9.44440335918626,0.0
BTC,Event_41,2022-04-22,-14.792438971695907,-14.792438971695907,-14.792438971695907,0.0
BTC,Event_42,2022-05-31,-18.781428152168218,-18.781428152168218,-18.781428152168218,0.0
BTC,Event_43,2022-09-01,-9.178653611579394,-9.178653611579394,-9.178653611579394,0.0
BTC,Event_44,2022-11-08,-5.9363044821032895,-5.9363044821032895,-5.9363044821032895,0.0
BTC,Event_45,2022-12-27,4.771260680269307,4.771260680269307,4.771260680269307,0.0
BTC,Event_46,2023-06-26,5.227822575729728,5.227822575729728,5.227822575729728,0.0
BTC,Event_47,2023-10-06,12.046241722090079,12.046241722090079,12.046241722090079,0.0
BTC,Event_48,2023-10-27,33.779902669200055,33.779902669200055,33.779902669200055,0.0
BTC,Event_49,2023-12-04,9.400219731997012,9.400219731997012,9.400219731997012,0.0
BTC,Event_5,2016-01-01,-31.861075373171445,-31.861075373171445,-31.861075373171445,0.0
BTC,Event_50,2024-01-09,-14.519024534169237,-14.519024534169237,-14.519024534169237,0.0
BTC,Event_51,2024-02-15,30.941684939698195,30.941684939698195,30.941684939698195,0.0
